Flour,aw,Day,REP,Ecoli_Load
Cake,0.55,84,3,4.77
Cake,0.55,112,3,1.6
Cake,0.65,0,3,7.1
Cake,0.65,3,3,7.74
Cake,0.65,7,3,7.12
Cake,0.65,14,3,6.48
Cake,0.65,21,3,6.05
Cake,0.65,28,3,5.61
Cake,0.65,42,3,5.03
Cake,0.65,56,3,4.47
Cake,0.65,84,3,3.75
Cake,0.65,112,3,1.09
Buck,0.45,0,1,6.58
Buck,0.45,3,1,6.91
Buck,0.45,7,1,5.5
Buck,0.45,14,1,6.3
Buck,0.45,21,1,5.84
Buck,0.45,28,1,6.25
Buck,0.45,42,1,5.67
Buck,0.45,56,1,5.47
Buck,0.45,84,1,5.06
Buck,0.45,112,1,4.93
Buck,0.55,0,1,6.75
Buck,0.55,3,1,6.81
Buck,0.55,7,1,6.32
Buck,0.55,14,1,5.91
Buck,0.55,21,1,6.06
Buck,0.55,28,1,5.94
Buck,0.55,42,1,5.46
Buck,0.55,56,1,4.74
Buck,0.55,84,1,5.34
Buck,0.55,112,1,4.92
Buck,0.65,0,1,6.62
Buck,0.65,3,1,6.45
Buck,0.65,7,1,6.47
Buck,0.65,14,1,6.25
Buck,0.65,21,1,6.07
Buck,0.65,28,1,6.05
Buck,0.65,42,1,5.43
Buck,0.65,56,1,5.28
Buck,0.65,84,1,5.3
Buck,0.65,112,1,5.07
Buck,0.45,0,2,6.57
Buck,0.45,3,2,6.02
Buck,0.45,7,2,5.82
Buck,0.45,14,2,5.63
Buck,0.45,21,2,4.91
Buck,0.45,28,2,5.64
Buck,0.45,42,2,5.17
Buck,0.45,56,2,4.1
Buck,0.45,84,2,3.9
Buck,0.45,112,2,4.06
Buck,0.55,0,2,6.87
Buck,0.55,3,2,5.99
Buck,0.55,7,2,5.69
Buck,0.55,14,2,5.84
Buck,0.55,21,2,5.24
Buck,0.55,28,2,5.99
Buck,0.55,42,2,5.62
Buck,0.55,56,2,4.96
Buck,0.55,84,2,3.32
Buck,0.55,112,2,4.11
Buck,0.65,0,2,6.84
Buck,0.65,3,2,6.27
Buck,0.65,7,2,5.94
Buck,0.65,14,2,5.99
Buck,0.65,21,2,5.56
Buck,0.65,28,2,5.98
Buck,0.65,42,2,5.26
Buck,0.65,56,2,4.94
Buck,0.65,84,2,4.3
Buck,0.65,112,2,4.15
Buck,0.45,0,3,6.57
Buck,0.45,3,3,6.2
Buck,0.45,7,3,5.49
Buck,0.45,14,3,5.64
Buck,0.45,21,3,5.08
Buck,0.45,28,3,5.35
Buck,0.45,42,3,4.65
Buck,0.45,56,3,4.98
Buck,0.45,84,3,4.11
Buck,0.45,112,3,4.14
Buck,0.55,0,3,6.87
Buck,0.55,3,3,6.15
Buck,0.55,7,3,5.56
Buck,0.55,14,3,5.62
Buck,0.55,21,3,5.27
Buck,0.55,28,3,5.38
Buck,0.55,42,3,5.15
Buck,0.55,56,3,4.24
Buck,0.55,84,3,3.34
Buck,0.55,112,3,4.06
Buck,0.65,0,3,6.84
Buck,0.65,3,3,6.3
Buck,0.65,7,3,5.69
Buck,0.65,14,3,6.08
Buck,0.65,21,3,5.63
Buck,0.65,28,3,5.34
Buck,0.65,42,3,4.95
Buck,0.65,56,3,4.72
Buck,0.65,84,3,4.2
Buck,0.65,112,3,4.05
